File,Satisfiable,Time (s)
a6ed647f85f20be4aedd1e9ce31cbdcd-1-ET-256-K-55.sanitized.out,UNKNOWN,3582.64
0cfe9c90d3a51435a5e4dba7634b882f-g2-ak128boothbg2msisc.out,SATISFIABLE,0.62
9e6c2e7b0d6f58e449716deb9305525a-circuit_32in32out_with_96gates_7in7out_dist128_seed1.sanitized.out,SATISFIABLE,1607.67
fae08ac5b6d7eeb4f56f1cfac6c51703-j3045_4_mdd_bm1.out,UNSATISFIABLE,518.14
b8f5fc2425facb3aec52a665f32a500c-asconhashv12_opt64_H6_M2-PgbpwX_m0_4_U1.c.out,UNSATISFIABLE,255.21
3129198788f182ce6955b18aa3c7e61e-simon-r24-1.sanitized.out,SATISFIABLE,0.01
475803537529d9d14a034957f48a6d38-x9-09076.sat.sanitized.out,UNSATISFIABLE,39.12
84c6d7e4a18aacf166105aaa3cd6e3de-128_100.sanitized.out,SATISFIABLE,349.1
0fa8623240b5c14c1308f863a6dc88ab-urqh1c5x5.shuffled-as.sat03-1468.cnf.mis-103.debugged.out,UNKNOWN,3584.85
59825ed96dc3bbdbd8789a4870b323ec-hcp_CP18_18.out,SATISFIABLE,2827.6
63732c330adb8de8dd47ce1693b86d0e-FmlaEquivChain_4_8_8.sanitized.out,UNSATISFIABLE,3184.2
778e0fd8f034b7cfd539b1b523ed4c4a-lec_mult_CvW_12x12.sanitized.out,UNKNOWN,3582.38
479b1413f8bd1d6fc0723856ffca9792-constraints_18_0.4_2.sanitized.out,UNSATISFIABLE,819.44
385042a6042a0df5ddfec6e17f285ae7-lec_mult_CvD_11x11.sanitized.out,UNSATISFIABLE,983.13
14ea5857d75ae2b235a3ba97373ea732-af-synthesis_stb_50_40_9_unsat.out,UNSATISFIABLE,1983.28
cccee4b0d4c70a5d5422663e2d8887da-1-ET-512-K-96.sanitized.out,SATISFIABLE,3116.48
207b28c3cefc55b143259222cbfd4962-pcmax-scheduling-m37-28831-324346-SAT.sanitized.out,UNKNOWN,3582.39
aceab5a3452e2901e645065bda3e8847-lru_8.sanitized.out,SATISFIABLE,66.44
