File,Satisfiable_i15,Time (s)_i15,Satisfiable_i16,Time (s)_i16,Satisfiable_output_standard,Time (s)_output_standard,Satisfiable_i14,Time (s)_i14,Satisfiable_i17,Time (s)_i17,Satisfiable_i13,Time (s)_i13,Selection
0ac6aaf6db6a0e4ec3a06e865d01086f-pcmax-scheduling-m13-2011-12813-UNSAT.sanitized.out,UNSATISFIABLE,245.21,UNSATISFIABLE,235.79,UNSATISFIABLE,174.03,UNSATISFIABLE,227.77,UNSATISFIABLE,169.93,UNSATISFIABLE,238.0,Selected
0bad2ce307bf5b68db26fa34e252c9d4-af-synthesis_stb_50_100_4_sat.out,SATISFIABLE,439.17,SATISFIABLE,690.1,SATISFIABLE,1550.43,SATISFIABLE,375.2,SATISFIABLE,179.21,SATISFIABLE,1143.32,Selected
0cace8a29a1d6b225a8da561d35e8f5a-lru_10.sanitized.out,SATISFIABLE,89.96,SATISFIABLE,87.86,SATISFIABLE,91.72,SATISFIABLE,89.35,SATISFIABLE,82.34,SATISFIABLE,76.35,Selected
0cfe9c90d3a51435a5e4dba7634b882f-g2-ak128boothbg2msisc.out,SATISFIABLE,0.62,SATISFIABLE,0.62,SATISFIABLE,0.62,SATISFIABLE,0.61,SATISFIABLE,0.57,SATISFIABLE,0.53,Not Selected
0d3160b80aa406bfc718c007265b9e73-linked_list_swap_contents_safety_unwind65.out,UNSATISFIABLE,263.06,UNSATISFIABLE,123.14,UNSATISFIABLE,149.64,UNSATISFIABLE,145.12,UNSATISFIABLE,215.12,UNSATISFIABLE,119.02,Selected
0d3fcbb89bfb8e821058ba3ea4284de1-j3045_10_gmto_b.out,SATISFIABLE,1145.84,SATISFIABLE,379.38,SATISFIABLE,426.45,SATISFIABLE,255.79,UNKNOWN,3583.01,SATISFIABLE,193.32,Selected
0d81711a3d73c828e8c6e12607eda82d-noL-11-20.sanitized.out,SATISFIABLE,71.67,SATISFIABLE,17.5,SATISFIABLE,149.5,SATISFIABLE,144.39,SATISFIABLE,59.82,SATISFIABLE,65.36,Selected
0e5ffe8651c6d9c3cccc3f6cb72be39a-g2-test_v5_r10_vr10_c1_s21502.smt2-cvc4.out,UNSATISFIABLE,448.52,UNSATISFIABLE,2392.26,UNSATISFIABLE,502.23,UNSATISFIABLE,1194.51,UNSATISFIABLE,384.64,UNSATISFIABLE,415.87,Selected
0ef029cb7616d4a89eb6d1f63e89f67e-or_randxor_k3_n510_m510.sanitized.out,UNSATISFIABLE,6.06,UNSATISFIABLE,12.86,UNSATISFIABLE,4.78,UNSATISFIABLE,4.66,UNSATISFIABLE,5.28,UNSATISFIABLE,5.65,Selected
0f262afd5b117000f8b4734d175aadab-linked_list_swap_contents_safety_unwind73.out,UNSATISFIABLE,445.31,UNSATISFIABLE,171.48,UNSATISFIABLE,154.87,UNSATISFIABLE,180.2,UNSATISFIABLE,134.23,UNSATISFIABLE,175.35,Selected
0fa8623240b5c14c1308f863a6dc88ab-urqh1c5x5.shuffled-as.sat03-1468.cnf.mis-103.debugged.out,UNKNOWN,3584.85,UNKNOWN,3584.4,UNKNOWN,3582.71,UNKNOWN,3584.55,UNKNOWN,3585.28,UNKNOWN,3583.77,Not Selected
0fa9521ff633b27be11525a7b0f7d8b6-jgiraldezlevy.2200.9086.08.40.41.out,SATISFIABLE,187.15,SATISFIABLE,91.01,SATISFIABLE,10.33,SATISFIABLE,139.25,SATISFIABLE,493.24,SATISFIABLE,286.05,Selected
1009c791cee542cdf19651fe25e6881a-summle_X4053_steps8_I1-2-2-4-4-8-25-100.out,SATISFIABLE,30.94,SATISFIABLE,11.05,SATISFIABLE,14.45,SATISFIABLE,18.47,SATISFIABLE,16.23,SATISFIABLE,40.37,Selected
1156429862d3c03160406d6d1a786f11-rphp_p8_r170.sanitized.out,UNKNOWN,3584.7,UNKNOWN,3587.26,UNKNOWN,3583.18,UNKNOWN,3582.87,UNKNOWN,3585.15,UNKNOWN,3582.68,Not Selected
1165e12b6addad01b491c4616306186c-mulhs016-sc2009.out,UNKNOWN,3583.23,UNKNOWN,3583.64,UNKNOWN,3581.48,UNKNOWN,3579.84,UNKNOWN,3583.75,UNKNOWN,3582.69,Not Selected
11cc532ecddfb10a47e0a869b4867c1b-Break_triple_20_36.xml.out,UNKNOWN,3582.79,UNKNOWN,3582.77,UNKNOWN,3580.63,UNKNOWN,3581.75,UNKNOWN,3560.5,UNKNOWN,3582.15,Not Selected
12b4a08e412a3bffb513ca65639c7c69-Folkman-175-7416734.sanitized.out,SATISFIABLE,85.9,SATISFIABLE,169.38,SATISFIABLE,345.87,SATISFIABLE,293.47,SATISFIABLE,228.3,SATISFIABLE,142.69,Selected
13ae2628d8e113db1786dba41a65fe38-x9-10027.sat.sanitized.out,SATISFIABLE,170.22,SATISFIABLE,37.6,SATISFIABLE,52.62,SATISFIABLE,50.99,SATISFIABLE,16.72,SATISFIABLE,156.23,Selected
1427381a809c64c721838894ece6756d-shuffling-2-s25242449-of-bench-sat04-727.used-as.sat04-753.out,SATISFIABLE,42.43,SATISFIABLE,497.68,SATISFIABLE,43.9,SATISFIABLE,36.68,SATISFIABLE,41.41,SATISFIABLE,45.26,Selected
14e4cfcf0d83b2185fad41684d00d4dc-x9-12035.sat.sanitized.out,SATISFIABLE,68.08,SATISFIABLE,309.35,SATISFIABLE,420.54,SATISFIABLE,407.22,SATISFIABLE,1056.35,SATISFIABLE,62.6,Selected
14ea5857d75ae2b235a3ba97373ea732-af-synthesis_stb_50_40_9_unsat.out,UNSATISFIABLE,1983.28,UNSATISFIABLE,2079.19,UNSATISFIABLE,2113.12,UNSATISFIABLE,2062.71,UNSATISFIABLE,1640.56,UNSATISFIABLE,1798.44,Selected
1507d9812624b3e0eaf15e40100be020-x9-12014.sat.sanitized.out,SATISFIABLE,20.17,SATISFIABLE,883.64,SATISFIABLE,27.74,SATISFIABLE,27.07,SATISFIABLE,800.02,SATISFIABLE,18.49,Selected
1545660e72158c7e90da5ad4c877a124-hwmcc20miters-iso-rast-p06.sanitized.out,UNSATISFIABLE,0.36,UNSATISFIABLE,0.26,UNSATISFIABLE,0.38,UNSATISFIABLE,0.36,UNSATISFIABLE,0.29,UNSATISFIABLE,0.33,Not Selected
1548977b4e27032fe07cda357782cd6a-mdp-28-14-unsat.out,UNSATISFIABLE,1869.57,UNSATISFIABLE,1527.95,UNSATISFIABLE,2769.54,UNSATISFIABLE,2697.9,UNSATISFIABLE,1872.21,UNSATISFIABLE,1714.5,Selected
16c27d738cb45b766b8823ca4f428cf0-rbsat-v760c43649gyes7.out,SATISFIABLE,1328.96,SATISFIABLE,604.0,SATISFIABLE,2428.66,SATISFIABLE,132.55,SATISFIABLE,313.1,SATISFIABLE,322.23,Selected
16c5482d8e658b54e20d59cfd4b1d588-two-trees-511v.sanitized.out,UNKNOWN,3582.78,UNKNOWN,3584.77,UNKNOWN,3582.33,UNKNOWN,3584.03,SATISFIABLE,645.82,UNKNOWN,3584.24,Selected
16ca57f2cdffd5b0260fc771017e1f04-mdp-36-10-unsat.out,UNKNOWN,3583.64,UNKNOWN,3584.2,UNKNOWN,3582.63,UNKNOWN,3583.27,UNKNOWN,3585.05,UNKNOWN,3583.48,Not Selected
170a7d847694ee4cfa5c421757672882-af-synthesis_stb_50_140_0_unsat.out,UNSATISFIABLE,1027.48,UNSATISFIABLE,996.92,UNSATISFIABLE,1022.7,UNSATISFIABLE,1064.23,UNSATISFIABLE,783.76,UNSATISFIABLE,961.39,Selected
170b13af977e962321c493544b2bd0a9-circuit_48in64out_with_800gates_4in4out_dist128_seed4.sanitized.out,SATISFIABLE,23.77,SATISFIABLE,108.44,SATISFIABLE,21.94,SATISFIABLE,20.6,SATISFIABLE,19.03,SATISFIABLE,19.82,Selected
18c0eb461bda29214bd43b84199a3b61-cliquecolouring_n31_k5_c4.sanitized.out,UNKNOWN,3583.72,UNKNOWN,3583.0,UNKNOWN,3579.06,UNKNOWN,3582.42,UNKNOWN,3583.58,UNKNOWN,3581.61,Not Selected
